1,P*$$Y Fairy (OTW),Jhené Aiko,2013076,https://open.spotify.com/track/48KXAIruJ07kJVCWOGohMV
2,Beautiful People (feat. Khalid),Ed Sheeran,1999309,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
3,Finally // beautiful stranger,Halsey,1994286,https://open.spotify.com/track/42SOtYBdnfj9zEdZSlAq5k
4,Cash Shit (feat. DaBaby),Megan Thee Stallion,1992116,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
5,Somebody,Internet Money,1986330,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
6,Sucker,Jonas Brothers,1983911,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
7,Let Me Know (I Wonder Why Freestyle),Juice WRLD,1973570,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx
8,Immortal,21 Savage,1966534,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq
9,Armed And Dangerous,Juice WRLD,1962200,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
10,BEST ON EARTH (feat. BIA),Russ,1956046,https://open.spotify.com/track/2Xo3rLHjXfdb4avN68aQyi
11,I Don't Care (with Justin Bieber),Ed Sheeran,1943717,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
12,Sanguine Paradise,Lil Uzi Vert,1941186,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
13,Talk (feat. Disclosure),Khalid,1933205,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
14,One Man Band,Old Dominion,1925331,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
15,Trampoline (with ZAYN),SHAED,1908956,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
16,Better Now,Post Malone,1908434,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
17,UP THE SMOKE (with Offset),Stunna 4 Vegas,1904090,https://open.spotify.com/track/3faAAUxohrxqYhPlneZ3XV
18,Eastside (with Halsey & Khalid),benny blanco,1900865,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
19,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1890403,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
20,Ransom (with Juice WRLD) - Remix,Lil Tecca,1879939,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
21,I HATE EVERYBODY,Halsey,1869211,https://open.spotify.com/track/35FjZytt5TukIgJD86UybL
22,Fuck Love (feat. Trippie Redd),XXXTENTACION,1856524,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
23,Lean Wit Me,Juice WRLD,1856109,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
24,ocean eyes,Billie Eilish,1855582,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
25,It's You,Ali Gatie,1854303,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
26,First Place,Polo G,1849723,https://open.spotify.com/track/5rSVQzJQ5nMUcFJDkJMfzL
27,Happier,Marshmello,1847353,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
28,Moonlight,XXXTENTACION,1845377,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
29,Alfred - Outro,Eminem,1844104,https://open.spotify.com/track/1WAwILvz37MkmZfmGnEXfg
30,goosebumps,Travis Scott,1842515,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
